date,state,district,pincode,demo_age_5_17,demo_age_17_
23-10-2025,Haryana,Bhiwani,127306,0,2
23-10-2025,Haryana,Bhiwani,127309,0,2
23-10-2025,Haryana,Charkhi Dadri,127042,0,2
23-10-2025,Haryana,Charkhi Dadri,127307,0,1
23-10-2025,Haryana,Faridabad,121004,5,18
23-10-2025,Haryana,Gurgaon,122018,0,1
23-10-2025,Haryana,Gurgaon,122051,0,3
23-10-2025,Haryana,Hisar,125047,0,2
23-10-2025,Haryana,Jhajjar,124104,0,1
23-10-2025,Haryana,Jhajjar,124106,1,1
23-10-2025,Haryana,Kaithal,136020,1,0
23-10-2025,Haryana,Kaithal,136035,0,3
23-10-2025,Haryana,Mahendragarh,123021,0,1
23-10-2025,Haryana,Mewat,122104,0,1
23-10-2025,Haryana,Mewat,122105,1,5
23-10-2025,Haryana,Palwal,121107,2,1
23-10-2025,Haryana,Panchkula,134109,0,3
23-10-2025,Haryana,Panipat,132101,0,2
23-10-2025,Haryana,Panipat,132102,0,1
23-10-2025,Haryana,Panipat,132104,0,1
23-10-2025,Haryana,Rohtak,124112,1,2
23-10-2025,Haryana,Sonipat,131029,0,2
23-10-2025,Haryana,Sonipat,131408,0,1
23-10-2025,Haryana,Yamuna Nagar,133202,0,1
23-10-2025,Haryana,Yamuna Nagar,135001,2,6
23-10-2025,Haryana,Yamuna Nagar,135106,0,2
23-10-2025,Haryana,Yamuna Nagar,135133,0,1
24-10-2025,Haryana,Ambala,133001,4,31
24-10-2025,Haryana,Ambala,133102,1,0
24-10-2025,Haryana,Ambala,133104,1,5
24-10-2025,Haryana,Ambala,133201,1,6
25-10-2025,Haryana,Ambala,133001,7,34
25-10-2025,Haryana,Ambala,133201,0,3
25-10-2025,Haryana,Ambala,133202,0,1
25-10-2025,Haryana,Ambala,134007,2,5
25-10-2025,Haryana,Ambala,134202,0,7
25-10-2025,Haryana,Ambala,134203,1,13
25-10-2025,Haryana,Bhiwani,127027,0,3
25-10-2025,Haryana,Bhiwani,127030,0,7
